1970,1
01,215
08,541
00,271
-----------------------,184
标题,187
内容,229
每日,105
一记,90
大学,282
社会,187
缩影,1
青少年,4
阳刚,3
气质,18
严重不足,1
管理层,2
学生,36
组织,18
弥漫着,2
阴柔,3
老沉,1
权术,1
气氛,18
学生会,2
一种,300
打着,2
旗号,2
帮闲,2
打手,3
组装,2
多数,5
高校,6
管理制度,1
强权,2
统治,2
文化,47
方便,38
统治者,1
逃避责任,2
完全,235
考虑,66
制度,12
受用,3
群体,9
人格,13
动物园,2
某国,1
权利,10
民众,3
随意,39
拆迁,1
驱赶,1
全球,3
行政,1
气息,12
圈子,4
山大王,1
横行,1
不是,596
完整,25
中国,75
应该,531
规章,1
发动,1
全方位,13
监控,2
红旗,1
精神,147
生活,1058
生理需求,3
电器,1
交微博,1
拥抱,9
牵手,1
揭发,1
检举,1
互相监督,1
力争上游,3
校园,12
轻量级,1
文革,2
法西斯,1
英雄主义,2
罕见,2
明哲保身,1
忙于,1
生存,61
考研,136
有些,133
不合理,7
竟然,15
上个世纪,1
延续,7
至今,3
几乎,19
成为,85
母校,1
优良传统,1
几代人,2
美好记忆,1
软弱,4
部分,39
家长,5
猛于,1
出事,1
不问,5
法律,6
横幅,1
马路,5
哭声,1
孩子,49
有奶,1
催生,4
接下来,23
粗暴,3
管理,25
条目,1
独裁,1
校方,1
丛林,3
信条,2
孤立无援,1
构成,3
现代,48
一锅粥,1
很多,334
那种,149
看起来,21
事物,29
university,4
college,2
本质,63
扩大,4
私塾,1
几千年,7
封建社会,1
平民,23
科举,1
晋升,2
阶级,7
驿站,2
转自,1
1101033692,566
OhRNDTN1r,1
nILaxJ0S4w,1
15,643
38,147
为什么,225
这么,616
努力,198
因为,379
想要,339
能力,309
17,730
44,124
公共场合,1
不自在,1
过分,46
刻意追求,3
自然,102
感觉,702
反应,26
深刻,51
自信,86
一人,16
言行举止,2
可以,1263
轻易,29
出来,235
不大不小,1
压力,115
面前,55
表现,40
淡定,3
需要,342
多少,126
历练,6
26,210
07,629
57,120
原来,102
每次,91
截断,1
20,712
000,2
第三本,1
今年,26
每年,13
12,753
万字,2
废话,3
记录,105
重要,264
留下,70
时光,162
影子,4
看看,205
思想,203
变化,84
感到,98
蛮大,11
来源于,19
自己,1612
要求,106
放不下,24
知道,322
以前,129
事情,778
一发,8
现在,813
疲惫,32
可能,571
那么,396
跪拜,1
原因,116
饱暖思淫欲,4
这种,273
心态,285
不是故意,1
刺激,38
起来,298
真有,3
比较,217
总是,269
追求,317
最好,123
事实上,27
不到,118
还有,425
人际关系,10
担任,1
机创,46
数模,39
两个,153
队长,3
真的,1067
超级,39
费心,11
特别,183
本身,58
成绩,165
恶补,3
时候,792
11,849
03,184
彼可,1
取而代之,1
时间,698
精力,139
没有,1519
状态,195
混日子,1
晚上,316
10,819
睡觉,211
今晚,94
上课,59
不能,387
图书馆,273
之后,241
自习,16
下课,14
点前,4
完成,94
温习,5
任务,34
看看书,36
13,631
04,159
疏狂,12
风雨,28
吹不脱,1
脉脉,5
斜阳,11
满坡,2
吹不动,1
日暖,1
打一,1
植物,5
28,224
32,133
读完,8
那本,5
精通,3
网络,15
爬虫,11
我们,298
所谓,187
哪里,65
赶得上,1
互联网,4
创新,14
万分之一,1
五一,11
出去玩,10
女生,212
小姐姐,61
声音,48
好听,19
29,203
06,411
46,121
五一节,3
第一天,24
早上,178
孟轩,58
会儿,50
使命,8
召唤,6
看三体,1
动漫,4
还是,1223
滋润,3
昨日,11
雄心,2
感慨,37
享乐,8
什么,1175
不想,241
想想,63
四个,10
世纪,5
已经,481
失去,67
破壁,1
身份,24
末日,2
混乱,12
那时,15
庄颜,1
会以,3
怎样,79
目光,20
看待,42
虽说,16
别人,401
其实,496
渴望,26
甚至,170
使人,16
硬性,1
韧性,3
19,716
02,156
一次,258
接受,131
康康,8
帮助,35
性格,62
使然,9
能够,259
众人,11
游刃有余,3
尽量,49
照顾,9
各方,10
利益,84
同时,69
使得,20
大家,147
能认,2
一面,37
旁边,47
大小,9
姐姐,8
好看,68
之间,57
交往,19
复杂,37
冷月,1
寒霜,1
不知,50
21,718
49,119
好剧,2
没想到,42
四川话,1
唱出来,2
里面,115
优秀,72
同学,97
独立,89
女性,25
令人,94
敬佩,9
这些,145
认识,136
短浅,4
以及,116
见过世面,2
重新,67
定义,20
切身感受,1
一样,338
台下,2
台上,3
表演,9
大不一样,7
一份,41
耕耘,2
收获,66
付出,39
或者说,111
用心,72
勇敢,18
尝试,55
其中,92
邓浩,52
喝醉,1
喜欢,241
不要,450
传个,1
除了,70
一点,455
安慰,23
别的,25
白蛇传,1
配乐,1
乐团,1
第二次,7
近距离,3
观赏,1
他们,284
方舟,5
舒艺,1
眼熟,1
真切,12
佩服,20
方面,104
人才,18
敢于,64
并且,44
发展,120
兴趣,37
方向,87
人生,383
苦短,18
何去何从,5
本来,138
情侣,13
票省,1
不好意思,14
这个,559
但是,847
理性,109
来讲,21
战胜,9
最终,37
觉得,480
必要,94
麻烦,19
那样,126
虽然,280
如果,283
只是,624
互相,45
组队,1
认得,3
就要,110
熟悉,72
关系,119
毕竟,147
刻意,12
经营,15
学期,78
重点,58
学习,413
前半生,5
一些,227
厘清,5
待人接物,6
原则,21
找到,99
争取,51
取得,17
进一步,5
保研,16
深造,3
准备,229
洗澡,39
厌倦,20
对待,53
她们,19
平等,44
不卑不亢,5
自我,146
自考,1
勇气,43
随波逐流,9
魄力,10
30,252
心情,80
好点,18
干劲,3
赚点,4
外快,5
全部,40
父母,66
前去,3
挥霍,10
过意不去,4
找钱,3
困难,41
早些时候,3
条件,55
允许,12
机会,214
做点,34
兼职,17
只能,255
妈妈,52
洗碗,1
开阔,9
视野,24
试着,4
认真,96
家教,6
之类,10
意义,163
这样,615
试试,30
那个,217
做好,199
对应,12
16,641
59,117
今天,553
南山,5
没什么,115
就是,948
走走,53
风景,57
吃晚饭,4
冒菜,1
喝酒,5
尽兴,6
一波,63
放纵,57
借口,37
感情,169
高级,16
生理,37
冲动,47
正常,37
表达,38
外表,7
身体健康,7
直观,8
判断,9
具化,1
便是,62
美女,17
偏爱,7
影响,167
压抑,22
忍辱负重,10
实在,94
办法,171
不得已,3
不见得,9
分出,4
多大,19
优劣,2
反而,79
物质,53
片面,3
方方面面,12
做出,80
选择,376
回去,172
好好,268
收心,1
或者,279
逐渐,66
既然,47
独立自主,4
提供,11
情况,142
此时,8
女人,132
吸引,19
一方,5
成本,24
男人,107
变得,74
自卑,35
极端,11
懂得,40
套路,12
心仪,1
对象,11
说实话,55
东西,342
明眼人,2
只有,243
有意思,31
有效,11
保护,20
奋斗,111
所有,185
习惯,43
一个,1838
男女,57
无所谓,16
唯一,33
好感,11
原始,17
欲望,130
驱使,18
所有人,23
竞争,43
最后,249
一层,9
窗户纸,1
打破,31
当爱上,1
既有,8
真实,112
爱意,5
扶持,4
感激,13
单身,3
女朋友,32
不会,461
更好,111
而是,58
负担,34
何用,4
提早,9
感受,168
爱情,71
疲倦,44
对于,105
来说,110
从此,27
绝缘,3
如此,151
多艰,4
优势,28
只想,23
体面,10
自由,118
或许,79
许多,15
遗憾,69
作为,105
奢侈品,5
随便,89
换来,11
不必,42
劳神,5
买春,1
总有,33
时而,5
攀比,13
之心,12
未来,263
无力感,8
无法,92
做到,83
乐天,1
逍遥,29
一口气,7
为啥,9
为的是,3
尊重,46
博取,3
他人,43
信任,23
然后,367
同床共枕,1
一定,256
一条心,1
人心,17
足以,16
非常,120
幸福,125
不过,490
此基础,2
更上一层楼,4
而已,318
延续下去,1
09,431
54,119
对比,52
两年,61
以来,57
拥有,58
改变,169
生活费,7
目前,51
仍然,34
学校,133
活动,59
奖励,9
得到,75
奖学金,46
惭愧,10
丢失,5
来看,82
当时,180
是否,86
抓紧,3
过后,60
怀念,36
有点,387
可惜,47
想着,101
真正,266
做事,68
手中,6
资源,22
尽全力,11
小事,28
事后,9
总会,48
总结,99
一直,250
不好,138
眼前,63
惬意,10
聊着,5
琐事,32
面包,2
音乐,20
没事,33
到处,16
翻一翻,1
心里,45
学到,43
有趣,18
14,537
52,143
数电,29
期中,2
76,4
最气,1
写错,2
一点点,53
以为,87
方法,106
然而,50
可悲,21
却是,42
就此,25
怀疑,23
否定,8
之前,218
鼓励,14
值得注意,1
问题,475
细心,8
膨胀,9
羡慕,34
90,31
侥幸心理,4
稍稍,36
一下,642
答案,53
第一次,79
冷漠,7
是我太,2
也许,65
高冷,4
到底,31
应有,11
熟练,13
弱者,27
人会,14
怜悯,7
期望,37
一件,113
尽力,33
逃避,31
漂亮,33
有毒,46
小时,175
18,717
37,115
作业,94
他妈的,16
43,109
人间,38
二月,1
散落,1
天涯,12
嫉妒,17
最舒服,5
崩溃,13
昨天,192
收到,23
寄来,1
枇杷,1
阔以,9
所以,389
惜取,2
没错,25
比赛,30
难搞,5
的话,226
更是,28
