1970,1
01,1
215,1
08,1
541,1
00,1
271,1
-----------------------,1
184,2
标题,1
187,3
内容,1
229,3
每日,1
105,6
一记,1
90,4
大学,1
282,1
社会,1
缩影,1
青少年,1
阳刚,1
气质,1
18,76
严重不足,1
管理层,1
学生,1
36,23
组织,1
弥漫着,1
阴柔,1
老沉,1
权术,1
气氛,1
学生会,1
一种,1
300,2
打着,1
旗号,1
帮闲,1
打手,1
组装,1
多数,1
高校,1
管理制度,1
强权,1
统治,1
文化,1
47,17
方便,1
38,23
统治者,1
逃避责任,1
完全,1
235,3
考虑,1
66,10
制度,1
12,184
受用,1
群体,1
人格,1
13,153
动物园,1
某国,1
权利,1
10,203
民众,1
随意,1
39,25
拆迁,1
驱赶,1
全球,1
行政,1
气息,1
圈子,1
山大王,1
横行,1
不是,1
596,1
完整,1
25,32
中国,1
75,4
应该,1
531,1
规章,1
发动,1
全方位,1
监控,1
红旗,1
精神,1
147,6
生活,1
1058,1
生理需求,1
电器,1
交微博,1
拥抱,1
牵手,1
揭发,1
检举,1
互相监督,1
力争上游,1
校园,1
轻量级,1
文革,1
法西斯,1
英雄主义,1
罕见,1
明哲保身,1
忙于,1
生存,1
61,7
考研,1
136,3
有些,1
133,4
不合理,1
竟然,1
15,101
上个世纪,1
延续,1
至今,1
几乎,1
19,78
成为,1
85,5
母校,1
优良传统,1
几代人,1
美好记忆,1
软弱,1
部分,1
家长,1
猛于,1
出事,1
不问,1
法律,1
横幅,1
马路,1
哭声,1
孩子,1
49,10
有奶,1
催生,1
接下来,1
23,45
粗暴,1
管理,1
条目,1
独裁,1
校方,1
丛林,1
信条,1
孤立无援,1
构成,1
现代,1
48,10
一锅粥,1
很多,1
334,1
那种,1
149,1
看起来,1
21,68
事物,1
29,40
university,1
college,1
本质,1
63,8
扩大,1
私塾,1
几千年,1
封建社会,1
平民,1
科举,1
晋升,1
阶级,1
驿站,1
转自,1
1101033692,1
566,1
OhRNDTN1r,1
nILaxJ0S4w,1
643,1
为什么,1
225,1
这么,1
616,1
努力,1
198,1
因为,1
379,1
想要,1
339,1
能力,1
309,2
17,98
730,1
44,19
124,1
公共场合,1
不自在,1
过分,1
46,18
刻意追求,1
自然,1
102,3
感觉,1
702,1
反应,1
26,45
深刻,1
51,14
自信,1
86,3
一人,1
16,98
言行举止,1
可以,1
1263,1
轻易,1
出来,1
不大不小,1
压力,1
115,8
面前,1
55,14
表现,1
40,18
淡定,1
需要,1
342,2
多少,1
126,7
历练,1
210,1
07,1
629,1
57,13
120,4
原来,1
每次,1
91,2
截断,1
20,65
712,1
000,1
第三本,1
今年,1
每年,1
753,1
万字,1
废话,1
记录,1
重要,1
264,1
留下,1
70,11
时光,1
162,1
影子,1
看看,1
205,3
思想,1
203,2
变化,1
84,4
感到,1
98,3
蛮大,1
11,187
来源于,1
自己,1
1612,1
要求,1
106,5
放不下,1
24,50
知道,1
322,1
以前,1
129,2
事情,1
778,1
一发,1
现在,1
813,1
疲惫,1
32,24
可能,1
571,1
那么,1
396,1
跪拜,1
原因,1
116,6
饱暖思淫欲,1
这种,1
273,3
心态,1
285,1
不是故意,1
刺激,1
起来,1
298,2
真有,1
比较,1
217,2
总是,1
269,1
追求,1
317,1
最好,1
123,3
事实上,1
27,39
不到,1
118,5
还有,1
425,1
人际关系,1
担任,1
机创,1
数模,1
两个,1
153,4
队长,1
真的,1
1067,1
超级,1
费心,1
特别,1
183,2
本身,1
58,16
成绩,1
165,1
恶补,1
时候,1
792,1
849,1
03,1
彼可,1
取而代之,1
时间,1
698,1
精力,1
139,1
没有,1
1519,1
状态,1
195,2
混日子,1
晚上,1
316,1
819,1
睡觉,1
211,3
今晚,1
94,10
上课,1
59,10
不能,1
387,2
图书馆,1
之后,1
241,3
自习,1
下课,1
14,109
点前,1
完成,1
温习,1
任务,1
34,25
看看书,1
631,1
04,1
159,1
疏狂,1
风雨,1
28,31
吹不脱,1
脉脉,1
斜阳,1
满坡,1
吹不动,1
日暖,1
打一,1
植物,1
224,3
读完,1
那本,1
精通,1
网络,1
爬虫,1
我们,1
所谓,1
哪里,1
65,6
赶得上,1
互联网,1
创新,1
万分之一,1
五一,1
出去玩,1
女生,1
212,1
小姐姐,1
声音,1
好听,1
06,1
411,1
121,3
五一节,1
第一天,1
早上,1
178,1
孟轩,1
会儿,1
50,10
使命,1
召唤,1
看三体,1
动漫,1
还是,1
1223,1
滋润,1
昨日,1
雄心,1
感慨,1
37,25
享乐,1
什么,1
1175,1
不想,1
想想,1
四个,1
世纪,1
已经,1
481,1
失去,1
67,8
破壁,1
身份,1
末日,1
混乱,1
那时,1
庄颜,1
会以,1
怎样,1
79,12
目光,1
看待,1
42,19
虽说,1
别人,1
401,1
其实,1
496,1
渴望,1
甚至,1
170,2
使人,1
硬性,1
韧性,1
716,1
02,1
156,1
一次,1
258,2
接受,1
131,1
康康,1
帮助,1
35,27
性格,1
62,14
使然,1
能够,1
259,1
众人,1
游刃有余,1
尽量,1
照顾,1
各方,1
利益,1
同时,1
69,5
使得,1
大家,1
能认,1
一面,1
旁边,1
大小,1
姐姐,1
好看,1
68,10
之间,1
交往,1
复杂,1
冷月,1
寒霜,1
不知,1
718,1
119,5
好剧,1
没想到,1
四川话,1
唱出来,1
里面,1
优秀,1
72,9
同学,1
97,3
独立,1
89,7
女性,1
令人,1
敬佩,1
这些,1
145,1
认识,1
短浅,1
以及,1
见过世面,1
重新,1
定义,1
切身感受,1
一样,1
338,1
台下,1
台上,1
表演,1
大不一样,1
一份,1
41,12
耕耘,1
收获,1
付出,1
或者说,1
111,5
用心,1
勇敢,1
尝试,1
其中,1
92,5
邓浩,1
52,12
喝醉,1
喜欢,1
不要,1
450,2
传个,1
除了,1
一点,1
455,1
安慰,1
别的,1
白蛇传,1
配乐,1
乐团,1
第二次,1
近距离,1
观赏,1
他们,1
284,1
方舟,1
舒艺,1
眼熟,1
真切,1
佩服,1
方面,1
104,3
人才,1
敢于,1
64,4
并且,1
发展,1
兴趣,1
方向,1
87,4
人生,1
383,1
苦短,1
何去何从,1
本来,1
138,4
情侣,1
票省,1
不好意思,1
这个,1
559,1
但是,1
847,1
理性,1
109,3
来讲,1
战胜,1
最终,1
觉得,1
480,1
必要,1
麻烦,1
那样,1
虽然,1
280,1
如果,1
283,1
只是,1
624,1
互相,1
45,12
组队,1
认得,1
就要,1
110,6
熟悉,1
关系,1
毕竟,1
刻意,1
经营,1
学期,1
78,3
重点,1
学习,1
413,1
前半生,1
一些,1
227,1
厘清,1
待人接物,1
原则,1
找到,1
99,3
争取,1
取得,1
进一步,1
保研,1
深造,1
准备,1
洗澡,1
厌倦,1
对待,1
53,15
她们,1
平等,1
不卑不亢,1
自我,1
146,2
自考,1
勇气,1
43,19
随波逐流,1
魄力,1
30,23
252,1
心情,1
80,7
好点,1
干劲,1
赚点,1
外快,1
全部,1
父母,1
前去,1
挥霍,1
过意不去,1
找钱,1
困难,1
早些时候,1
条件,1
允许,1
机会,1
214,1
做点,1
兼职,1
只能,1
255,2
妈妈,1
洗碗,1
开阔,1
视野,1
试着,1
认真,1
96,5
家教,1
之类,1
意义,1
163,3
这样,1
615,1
试试,1
那个,1
做好,1
199,1
对应,1
641,1
117,1
今天,1
553,1
南山,1
没什么,1
就是,1
948,1
走走,1
风景,1
吃晚饭,1
冒菜,1
喝酒,1
尽兴,1
一波,1
放纵,1
借口,1
感情,1
169,4
高级,1
生理,1
冲动,1
正常,1
表达,1
外表,1
身体健康,1
直观,1
判断,1
具化,1
便是,1
美女,1
偏爱,1
影响,1
167,1
压抑,1
22,58
忍辱负重,1
实在,1
办法,1
171,2
不得已,1
不见得,1
分出,1
多大,1
优劣,1
反而,1
物质,1
片面,1
方方面面,1
做出,1
选择,1
376,1
回去,1
172,1
好好,1
268,1
收心,1
或者,1
279,1
逐渐,1
既然,1
独立自主,1
提供,1
情况,1
142,2
此时,1
女人,1
132,3
吸引,1
一方,1
成本,1
男人,1
107,5
变得,1
74,4
自卑,1
极端,1
懂得,1
套路,1
心仪,1
对象,1
说实话,1
东西,1
明眼人,1
只有,1
243,2
有意思,1
31,23
有效,1
保护,1
奋斗,1
所有,1
185,1
习惯,1
一个,1
1838,1
男女,1
无所谓,1
唯一,1
33,25
好感,1
原始,1
欲望,1
130,2
驱使,1
所有人,1
竞争,1
最后,1
249,2
一层,1
窗户纸,1
打破,1
当爱上,1
既有,1
真实,1
112,2
爱意,1
扶持,1
感激,1
单身,1
女朋友,1
不会,1
461,1
更好,1
而是,1
负担,1
何用,1
提早,1
感受,1
168,2
爱情,1
71,7
疲倦,1
对于,1
来说,1
从此,1
绝缘,1
如此,1
151,2
多艰,1
优势,1
只想,1
体面,1
自由,1
或许,1
许多,1
遗憾,1
作为,1
奢侈品,1
随便,1
换来,1
不必,1
劳神,1
买春,1
总有,1
时而,1
攀比,1
之心,1
未来,1
263,1
无力感,1
无法,1
做到,1
83,5
乐天,1
逍遥,1
一口气,1
为啥,1
为的是,1
尊重,1
博取,1
他人,1
信任,1
然后,1
367,1
同床共枕,1
一定,1
256,1
一条心,1
人心,1
足以,1
非常,1
幸福,1
125,4
不过,1
490,1
此基础,1
更上一层楼,1
而已,1
318,2
